time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
3855.391,28.442,29.123,31.057,0.681,0.3639,255
3855.693,28.646,29.1,31.057,0.4544,0.1373,255
3855.994,28.442,29.009,30.964,0.5672,0.2501,255
3856.295,28.397,29.078,31.15,0.6807,0.3636,255
3856.596,28.487,29.146,30.987,0.6585,0.3415,255
3856.897,28.578,29.032,31.034,0.4541,0.137,255
3857.198,28.397,29.032,30.964,0.6352,0.3181,255
3857.499,28.578,29.123,30.964,0.5452,0.2281,255
3857.8,28.601,29.123,31.011,0.5225,0.2055,255
3858.101,28.487,28.986,31.011,0.4992,0.1821,255
3858.402,28.442,29.055,31.011,0.6127,0.2956,255
3858.703,28.487,29.1,31.011,0.613,0.2959,255
3859.004,28.578,29.009,30.941,0.4313,0.1143,255
3859.305,28.442,29.032,31.011,0.5899,0.2729,255
3859.605,28.419,29.055,31.011,0.6353,0.3183,255
3859.907,28.623,29.032,30.964,0.4088,0.0917,255
3860.208,28.487,29.032,30.964,0.5447,0.2276,255
3860.509,28.487,29.078,31.15,0.5902,0.2731,255
3860.81,28.623,28.986,31.057,0.3633,0.0462,255
3861.111,28.578,29.032,31.011,0.4541,0.137,255
3861.412,28.442,29.146,31.011,0.7038,0.3867,255
3861.713,28.578,29.123,31.057,0.5452,0.2281,255
3862.013,28.601,29.169,31.011,0.5681,0.2511,255
3862.315,28.487,29.078,31.057,0.5902,0.2731,255
3862.616,28.487,29.078,31.104,0.5902,0.2731,255
3862.917,28.578,29.123,31.057,0.5452,0.2281,255
3863.218,28.487,29.032,30.987,0.5447,0.2276,255
3863.519,28.51,29.009,31.011,0.4993,0.1822,255
3863.82,28.51,29.305,31.15,0.7955,0.4785,255
3864.121,28.555,29.032,30.964,0.4767,0.1597,255
3864.422,28.487,29.078,30.964,0.5902,0.2731,255
3864.723,28.487,29.123,31.057,0.6357,0.3187,255
3865.024,28.623,29.032,31.011,0.4088,0.0917,255
3865.325,28.487,29.032,31.011,0.5447,0.2276,255
3865.627,28.465,29.123,31.034,0.6584,0.3413,255
3865.928,28.578,29.123,31.15,0.5452,0.2281,255
3866.229,28.51,29.032,30.964,0.522,0.205,255
3866.53,28.487,29.123,31.011,0.6357,0.3187,255
3866.83,28.487,29.169,30.964,0.6813,0.3643,255
3867.132,28.646,29.032,31.034,0.3861,0.069,255
3867.433,28.487,29.009,30.941,0.5219,0.2048,255
3867.734,28.487,29.078,31.057,0.5902,0.2731,255
3868.035,28.442,29.078,31.15,0.6355,0.3184,255
3868.336,28.465,29.078,31.011,0.6128,0.2958,255
3868.637,28.442,29.078,30.987,0.6355,0.3184,255
3868.938,28.623,29.055,31.197,0.4315,0.1145,255
3869.238,28.578,29.1,31.15,0.5224,0.2053,255
3869.54,28.374,29.055,30.964,0.6805,0.3635,255
3869.841,28.578,29.283,31.197,0.7048,0.3877,255
3870.142,28.623,28.986,30.918,0.3633,0.0462,255
3870.443,28.487,29.078,31.011,0.5902,0.2731,255
3870.745,28.442,29.123,31.057,0.681,0.3639,255
3871.046,28.578,29.123,31.15,0.5452,0.2281,255
3871.347,28.578,29.055,31.15,0.4769,0.1598,255
3871.648,28.419,28.986,30.964,0.567,0.25,255
3871.949,28.578,29.169,30.964,0.5908,0.2737,255
3872.25,28.623,29.032,30.964,0.4088,0.0917,255
3872.551,28.442,29.123,31.127,0.681,0.3639,255
3872.853,28.51,29.283,31.197,0.7727,0.4556,255
3873.154,28.623,29.032,31.034,0.4088,0.0917,255
3873.455,28.487,29.123,31.034,0.6357,0.3187,255
3873.757,28.397,29.1,30.964,0.7035,0.3864,255
3874.058,28.487,29.1,31.011,0.613,0.2959,255
3874.359,28.578,29.078,31.057,0.4996,0.1826,255
3874.659,28.465,29.055,31.15,0.5901,0.273,255
3874.961,28.578,29.123,31.15,0.5452,0.2281,255
3875.261,28.601,29.123,30.964,0.5225,0.2055,255
3875.563,28.487,29.032,31.034,0.5447,0.2276,255
3875.864,28.442,28.896,31.034,0.4535,0.1364,255
3876.165,28.578,29.123,31.057,0.5452,0.2281,255
3876.466,28.623,29.009,31.011,0.386,0.069,255
3876.767,28.442,29.1,30.964,0.6582,0.3412,255
3877.068,28.487,29.123,31.057,0.6357,0.3187,255
3877.369,28.623,29.032,30.964,0.4088,0.0917,255
3877.67,28.487,29.032,30.964,0.5447,0.2276,255
3877.971,28.487,29.078,31.057,0.5902,0.2731,255
3878.273,28.533,29.055,31.22,0.5222,0.2051,255
3878.574,28.487,29.032,30.964,0.5447,0.2276,255
3878.875,28.442,29.078,31.034,0.6355,0.3184,255
3879.176,28.487,29.123,31.057,0.6357,0.3187,255
3879.477,28.487,29.078,31.057,0.5902,0.2731,255
3879.778,28.397,29.055,31.011,0.6579,0.3409,255
3880.08,28.442,29.032,31.057,0.5899,0.2729,255
3880.381,28.487,29.123,31.034,0.6357,0.3187,255
3880.682,28.578,29.009,31.034,0.4313,0.1143,255
3880.984,28.397,29.078,31.011,0.6807,0.3636,255
3881.285,28.465,29.123,30.987,0.6584,0.3413,255
3881.586,28.487,29.055,31.15,0.5674,0.2504,255
3881.887,28.397,29.032,31.011,0.6352,0.3181,255
3882.188,28.442,29.123,31.057,0.681,0.3639,255
3882.489,28.601,29.1,31.011,0.4998,0.1827,255
3882.791,28.578,29.078,31.011,0.4996,0.1826,255
3883.092,28.397,29.078,31.011,0.6807,0.3636,255
3883.393,28.465,29.191,31.197,0.7267,0.4097,255
3883.694,28.669,29.032,31.011,0.3635,0.0464,255
3883.995,28.442,29.009,30.987,0.5672,0.2501,255
3884.296,28.442,29.078,31.15,0.6355,0.3184,255
3884.598,28.578,29.078,31.034,0.4996,0.1826,255
3884.899,28.487,29.032,30.964,0.5447,0.2276,255
3885.2,28.397,29.078,30.987,0.6807,0.3636,255
3885.501,28.465,29.055,30.964,0.5901,0.273,255
3885.802,28.623,28.986,30.918,0.3633,0.0462,255
3886.103,28.442,28.986,31.011,0.5444,0.2274,255
3886.404,28.397,29.078,30.964,0.6807,0.3636,255
3886.705,28.465,29.032,31.127,0.5673,0.2502,255
3887.006,28.487,29.032,31.011,0.5447,0.2276,255
3887.306,28.397,29.146,30.964,0.749,0.432,255
3887.608,28.555,29.078,31.057,0.5223,0.2052,255
3887.909,28.578,29.032,31.034,0.4541,0.137,255
3888.211,28.374,29.032,30.941,0.6578,0.3407,255
3888.512,28.465,29.032,31.057,0.5673,0.2502,255
3888.813,28.623,29.032,31.011,0.4088,0.0917,255
3889.114,28.487,29.009,30.964,0.5219,0.2048,255
3889.415,28.442,29.078,31.034,0.6355,0.3184,255
3889.716,28.51,29.078,31.057,0.5676,0.2505,255
3890.017,28.578,29.032,31.034,0.4541,0.137,255
3890.318,28.465,29.032,31.011,0.5673,0.2502,255
3890.619,28.487,29.123,30.964,0.6357,0.3187,255
3890.92,28.623,28.986,30.964,0.3633,0.0462,255
3891.222,28.442,29.032,30.918,0.5899,0.2729,255
3891.523,28.397,28.986,30.964,0.5897,0.2726,255
3891.825,28.623,29.078,31.011,0.4543,0.1373,255
3892.126,28.623,29.078,31.011,0.4543,0.1373,255
3892.427,28.442,28.986,30.964,0.5444,0.2274,255
3892.728,28.465,29.123,31.057,0.6584,0.3413,255
3893.029,28.487,29.078,31.011,0.5902,0.2731,255
3893.329,28.487,29.1,31.057,0.613,0.2959,255
3893.631,28.487,29.078,31.057,0.5902,0.2731,255
3893.932,28.623,29.032,31.011,0.4088,0.0917,255
