timestamp,millis,T_ref_C,T_heater_C,T_target_C,error_C,pwm_percent,p_term,i_term,d_term,auto_mode
2026-05-14T14:39:52.621052,1127303.0,26.7085,32.7139,32.7105,0.0023,49.048,0.0456,49.0025,0.0,1
2026-05-14T14:39:53.121590,1127804.0,26.7137,32.7081,32.7103,0.004,49.083,0.0791,49.0035,0.0,1
2026-05-14T14:39:53.621537,1128306.0,26.7162,32.6912,32.6934,-0.0019,48.967,-0.037,49.0043,0.0,1
2026-05-14T14:39:54.121532,1128808.0,26.6931,32.6821,32.6941,-0.0042,48.921,-0.0842,49.0052,0.0,1
2026-05-14T14:39:54.621423,1129311.0,26.711,32.7054,32.6995,0.0138,49.288,0.2762,49.0118,0.0,1
2026-05-14T14:39:55.121587,1129813.0,26.7078,32.6866,32.7047,0.0083,49.182,0.1657,49.0165,0.0,1
2026-05-14T14:39:55.621160,1130314.0,26.7077,32.6957,32.716,0.0112,49.247,0.2241,49.0229,0.0,1
2026-05-14T14:39:56.121402,1130816.0,26.6968,32.6864,32.6993,0.0016,49.057,0.032,49.0254,0.0,1
2026-05-14T14:39:56.621151,1131318.0,26.6928,32.6977,32.702,0.0089,49.215,0.1788,49.0358,0.0,1
2026-05-14T14:39:57.121324,1131820.0,26.7031,32.6954,32.7035,0.0058,49.157,0.1167,49.0402,0.0,1
2026-05-14T14:39:57.621725,1132322.0,26.703,32.6845,32.7014,0.0171,49.393,0.3427,49.0498,0.0,1
2026-05-14T14:39:58.121076,1132824.0,26.7075,32.6912,32.7144,0.0257,49.57,0.5131,49.0569,0.0,1
2026-05-14T14:39:58.621103,1133326.0,26.7206,32.7176,32.7106,0.0254,49.574,0.508,49.0657,0.0,1
2026-05-14T14:39:59.121461,1133828.0,26.7055,32.6874,32.6927,0.0048,49.168,0.097,49.071,0.0,1
2026-05-14T14:39:59.621517,1134330.0,26.7031,32.6842,32.7103,0.0274,49.627,0.5472,49.0796,0.0,1
2026-05-14T14:40:00.121800,1134832.0,26.6895,32.6891,32.6993,0.0106,49.297,0.2129,49.0837,0.0,1
2026-05-14T14:40:00.621487,1135334.0,26.7046,32.6947,32.7046,0.0098,49.286,0.1966,49.089,0.0,1
2026-05-14T14:40:01.121002,1135836.0,26.6901,32.6837,32.6945,0.0162,49.419,0.3244,49.0943,0.0,1
2026-05-14T14:40:01.621897,1136338.0,26.7011,32.6788,32.702,0.0446,50.0,0.8926,49.1078,0.0,1
2026-05-14T14:40:02.121260,1136840.0,26.6783,32.6901,32.6744,-0.0114,48.883,-0.2274,49.1099,0.0,1
2026-05-14T14:40:02.621601,1137342.0,26.692,32.6762,32.6856,0.0126,49.367,0.2521,49.1145,0.0,1
2026-05-14T14:40:03.122720,1137845.0,26.6948,32.6755,32.6797,0.0022,49.165,0.0443,49.1206,0.0,1
2026-05-14T14:40:03.671848,1138346.0,26.6746,32.6705,32.6808,0.0086,49.297,0.1711,49.1255,0.0,1
2026-05-14T14:40:04.171034,1138848.0,26.6872,32.6786,32.6871,0.0224,49.58,0.448,49.1323,0.0,1
2026-05-14T14:40:04.671705,1139351.0,26.6746,32.6762,32.674,0.0077,49.292,0.1533,49.1384,0.0,1
2026-05-14T14:40:05.171836,1139853.0,26.6779,32.6709,32.6769,0.0072,49.288,0.1443,49.1433,0.0,1
2026-05-14T14:40:05.671938,1140355.0,26.6695,32.6589,32.6599,0.0124,49.395,0.2489,49.1462,0.0,1
2026-05-14T14:40:06.171885,1140857.0,26.6699,32.656,32.675,0.0233,49.619,0.4664,49.1523,0.0,1
2026-05-14T14:40:06.671658,1141359.0,26.6591,32.6635,32.681,0.0214,49.588,0.4281,49.1602,0.0,1
2026-05-14T14:40:07.171233,1141861.0,26.6737,32.6575,32.6724,0.0184,49.532,0.3671,49.1652,0.0,1
2026-05-14T14:40:07.671899,1142363.0,26.6608,32.6727,32.6687,0.0002,49.171,0.0043,49.1672,0.0,1
2026-05-14T14:40:08.171215,1142864.0,26.6763,32.6562,32.6649,-0.007,49.025,-0.1406,49.1651,0.0,1
2026-05-14T14:40:08.672060,1143367.0,26.6569,32.6522,32.6561,0.0047,49.264,0.0944,49.1693,0.0,1
2026-05-14T14:40:09.171292,1143868.0,26.6676,32.6575,32.6695,0.0031,49.237,0.0629,49.1745,0.0,1
2026-05-14T14:40:09.671066,1144371.0,26.6632,32.6552,32.6604,-0.0099,48.979,-0.1978,49.1769,0.0,1
2026-05-14T14:40:10.171151,1144873.0,26.6653,32.6666,32.6536,0.0021,49.224,0.0427,49.1812,0.0,1
