time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
952.8,29.901,30.292,32.443,0.3914,0.3342,255
953.101,29.671,30.223,32.49,0.5516,0.4945,255
953.402,29.809,30.131,32.467,0.3219,0.2647,255
953.703,29.763,30.131,32.467,0.3677,0.3106,255
954.004,29.717,30.223,32.372,0.5058,0.4486,255
954.305,29.832,30.177,32.372,0.345,0.2878,255
954.606,29.786,30.085,32.301,0.2988,0.2416,255
954.907,29.809,30.269,32.443,0.4602,0.403,255
955.208,29.809,30.131,32.419,0.3219,0.2647,255
955.509,29.694,30.154,32.396,0.4596,0.4024,255
955.81,29.763,30.2,32.372,0.4369,0.3797,255
956.111,29.809,30.108,32.372,0.2988,0.2416,255
956.412,29.763,30.131,32.443,0.3677,0.3106,255
956.713,29.809,30.177,32.348,0.368,0.3108,255
957.014,30.016,30.085,32.112,0.069,0.0119,255
957.315,29.763,30.177,32.372,0.4138,0.3566,255
957.616,29.809,30.177,32.419,0.368,0.3108,255
957.918,29.763,30.085,32.088,0.3217,0.2645,255
958.219,29.763,30.177,32.348,0.4138,0.3566,255
958.52,29.809,30.085,32.325,0.2758,0.2186,255
958.821,29.855,30.223,32.372,0.3682,0.311,255
959.122,29.763,30.2,32.443,0.4369,0.3797,255
959.424,29.878,30.269,32.467,0.3913,0.3341,255
959.725,29.809,30.269,32.467,0.4602,0.403,255
960.027,29.763,30.154,32.467,0.3908,0.3336,255
960.329,29.832,30.085,32.325,0.2529,0.1957,255
960.63,29.855,30.177,32.49,0.3221,0.2649,255
960.931,29.901,30.269,32.372,0.3683,0.3111,255
961.232,29.855,30.131,32.443,0.276,0.2188,255
